timestamp	boot_id	sampling_resolution_bits	sampling_sample_time_cycles	sampling_oversampling	sampling_n_measurements	sampling_amplification	pt100_1_series_resistor_ohms	pt100_2_series_resistor_ohms	raw_pt100_1_p20	raw_pt100_1_median	raw_pt100_1_p80	raw_pt100_2_p20	raw_pt100_2_median	raw_pt100_2_p80	pt100_1_r_pt	pt100_1_temperature	pt100_2_r_pt	pt100_2_temperature
2025-12-17T15:22:55.402Z	3143733478	12	640	256	30	16	3183.6	3203.3	31412	31418	31420	31470	31475	31480	98.33666	-4.320358	99.13023	-2.259133
2025-12-17T15:22:55.677Z	3143733478	12	640	256	30	16	3183.6	3203.3	31410	31414	31416	31468	31472	31475	98.32375	-4.3538876	99.12049	-2.2844388
2025-12-17T15:22:55.952Z	3143733478	12	640	256	30	16	3183.6	3203.3	31408	31412	31418	31467	31472	31477	98.3173	-4.370652	99.12049	-2.2844388
2025-12-17T15:22:56.227Z	3143733478	12	640	256	30	16	3183.6	3203.3	31410	31414	31419	31465	31471	31477	98.32375	-4.3538876	99.11724	-2.2928808
2025-12-17T15:22:56.502Z	3143733478	12	640	256	30	16	3183.6	3203.3	31413	31416	31423	31474	31477	31480	98.33021	-4.3371224	99.13673	-2.2422693
2025-12-17T15:22:56.776Z	3143733478	12	640	256	30	16	3183.6	3203.3	31414	31418	31423	31474	31476	31482	98.33666	-4.320358	99.13348	-2.250711
2025-12-17T15:22:57.051Z	3143733478	12	640	256	30	16	3183.6	3203.3	31413	31417	31422	31471	31476	31480	98.333435	-4.32874	99.13348	-2.250711
2025-12-17T15:22:57.326Z	3143733478	12	640	256	30	16	3183.6	3203.3	31407	31413	31419	31467	31469	31475	98.320526	-4.36227	99.110756	-2.309725
2025-12-17T15:22:57.600Z	3143733478	12	640	256	30	16	3183.6	3203.3	31407	31411	31417	31467	31470	31476	98.31407	-4.379035	99.114	-2.301303
2025-12-17T15:22:57.875Z	3143733478	12	640	256	30	16	3183.6	3203.3	31404	31408	31413	31461	31465	31469	98.30439	-4.404182	99.09776	-2.3434727
2025-12-17T15:22:58.150Z	3143733478	12	640	256	30	16	3183.6	3203.3	31407	31412	31418	31465	31469	31475	98.3173	-4.370652	99.110756	-2.309725
2025-12-17T15:22:58.425Z	3143733478	12	640	256	30	16	3183.6	3203.3	31405	31410	31414	31463	31467	31473	98.310844	-4.3874173	99.104256	-2.3266087
2025-12-17T15:22:58.699Z	3143733478	12	640	256	30	16	3183.6	3203.3	31409	31415	31419	31467	31471	31475	98.32698	-4.345505	99.11724	-2.2928808
2025-12-17T15:22:58.974Z	3143733478	12	640	256	30	16	3183.6	3203.3	31410	31413	31419	31468	31472	31477	98.320526	-4.36227	99.12049	-2.2844388
2025-12-17T15:22:59.249Z	3143733478	12	640	256	30	16	3183.6	3203.3	31405	31408	31413	31464	31468	31472	98.30439	-4.404182	99.107506	-2.3181667
2025-12-17T15:22:59.524Z	3143733478	12	640	256	30	16	3183.6	3203.3	31404	31407	31411	31463	31466	31469	98.30116	-4.4125643	99.101006	-2.3350506
2025-12-17T15:22:59.799Z	3143733478	12	640	256	30	16	3183.6	3203.3	31403	31409	31415	31462	31467	31471	98.30762	-4.3957996	99.104256	-2.3266087
2025-12-17T15:23:00.074Z	3143733478	12	640	256	30	16	3183.6	3203.3	31403	31405	31412	31459	31466	31470	98.294716	-4.4293094	99.101006	-2.3350506
2025-12-17T15:23:00.349Z	3143733478	12	640	256	30	16	3183.6	3203.3	31402	31406	31412	31461	31464	31468	98.29794	-4.420927	99.09451	-2.3519144
2025-12-17T15:23:00.624Z	3143733478	12	640	256	30	16	3183.6	3203.3	31398	31402	31407	31457	31463	31465	98.285034	-4.454457	99.09127	-2.3603365
2025-12-17T15:23:00.899Z	3143733478	12	640	256	30	16	3183.6	3203.3	31404	31409	31414	31462	31468	31471	98.30762	-4.3957996	99.107506	-2.3181667
2025-12-17T15:23:01.173Z	3143733478	12	640	256	30	16	3183.6	3203.3	31403	31407	31411	31462	31465	31470	98.30116	-4.4125643	99.09776	-2.3434727
2025-12-17T15:23:01.448Z	3143733478	12	640	256	30	16	3183.6	3203.3	31406	31411	31417	31464	31469	31472	98.31407	-4.379035	99.110756	-2.309725
2025-12-17T15:23:01.723Z	3143733478	12	640	256	30	16	3183.6	3203.3	31400	31403	31410	31459	31463	31466	98.28826	-4.4460745	99.09127	-2.3603365
2025-12-17T15:23:01.998Z	3143733478	12	640	256	30	16	3183.6	3203.3	31402	31409	31415	31460	31465	31470	98.30762	-4.3957996	99.09776	-2.3434727
2025-12-17T15:23:02.273Z	3143733478	12	640	256	30	16	3183.6	3203.3	31404	31408	31413	31461	31465	31470	98.30439	-4.404182	99.09776	-2.3434727
2025-12-17T15:23:02.548Z	3143733478	12	640	256	30	16	3183.6	3203.3	31406	31412	31415	31464	31468	31473	98.3173	-4.370652	99.107506	-2.3181667
2025-12-17T15:23:02.822Z	3143733478	12	640	256	30	16	3183.6	3203.3	31403	31409	31411	31464	31465	31471	98.30762	-4.3957996	99.09776	-2.3434727
2025-12-17T15:23:03.097Z	3143733478	12	640	256	30	16	3183.6	3203.3	31407	31410	31415	31465	31470	31473	98.310844	-4.3874173	99.114	-2.301303
2025-12-17T15:23:03.372Z	3143733478	12	640	256	30	16	3183.6	3203.3	31405	31409	31412	31462	31465	31470	98.30762	-4.3957996	99.09776	-2.3434727
2025-12-17T15:23:03.647Z	3143733478	12	640	256	30	16	3183.6	3203.3	31406	31411	31415	31464	31467	31473	98.31407	-4.379035	99.104256	-2.3266087
2025-12-17T15:23:03.922Z	3143733478	12	640	256	30	16	3183.6	3203.3	31402	31406	31412	31462	31467	31469	98.29794	-4.420927	99.104256	-2.3266087
2025-12-17T15:23:04.197Z	3143733478	12	640	256	30	16	3183.6	3203.3	31400	31407	31410	31459	31462	31466	98.30116	-4.4125643	99.08803	-2.3687587
